Dig,Place,County,Label,Type,Latitude,Longitude
"2010 - HEFA",Pirton,Hertfordshire,11,PIT,51.9691321290287,-0.33264079828995
"2010 - HEFA",Pirton,Hertfordshire,12,PIT,51.9717531546189,-0.33613059503142
"2010 - HEFA",Pirton,Hertfordshire,13,PIT,51.9744888838029,-0.33725915972192
"2010 - HEFA",Pirton,Hertfordshire,14,PIT,51.9753462317272,-0.3345150783333
"2010 - HEFA",Pirton,Hertfordshire,15,PIT,51.9747523536461,-0.33333956610311
"2010 - HEFA",Pirton,Hertfordshire,16,PIT,51.9738898857885,-0.33365603220775
"2010 - HEFA",Pirton,Hertfordshire,17,PIT,51.9752602256003,-0.33111888042754
"2010 - HEFA",Pirton,Hertfordshire,18,PIT,51.9749489201707,-0.33019008751148
"2010 - HEFA",Pirton,Hertfordshire,19,PIT,51.973937538194,-0.32659657060339
"2010 - HEFA",Pirton,Hertfordshire,1,COR,51.9753830197986,-0.32713439891923
"2010 - HEFA",Pirton,Hertfordshire,2,COR,51.9734320740773,-0.34045542973392
"2010 - HEFA",Pirton,Hertfordshire,3,COR,51.9688005830449,-0.33200981144635
"2010 - HEFA",Pirton,Hertfordshire,4,COR,51.978842536753,-0.33185559136296
"2010 - HEFA",Pirton,Hertfordshire,5,COR,51.9726357618652,-0.33141046615369
"2010 - HEFA",Pirton,Hertfordshire,6,COR,51.9763939801531,-0.3333466767792
