Dig,Place,County,Label,Type,Latitude,Longitude
"2010 - Community Digs",Pirton,Hertfordshire,1,PIT,51.9748361239347,-0.33907771226418
"2010 - Community Digs",Pirton,Hertfordshire,2,PIT,51.9747884332166,-0.34015706727203
"2010 - Community Digs",Pirton,Hertfordshire,3,PIT,51.9744974120757,-0.33968582992123
"2010 - Community Digs",Pirton,Hertfordshire,4,PIT,51.9740329188262,-0.33909096338356
"2010 - Community Digs",Pirton,Hertfordshire,5,PIT,51.9742475304435,-0.33852675550956
"2010 - Community Digs",Pirton,Hertfordshire,6,PIT,51.9746096336319,-0.33832484614073
"2010 - Community Digs",Pirton,Hertfordshire,7,PIT,51.9747914317958,-0.33703534654184
"2010 - Community Digs",Pirton,Hertfordshire,8,PIT,51.9745503223377,-0.33744871050919
"2010 - Community Digs",Pirton,Hertfordshire,9,PIT,51.9749350067822,-0.33787002444029
"2010 - Community Digs",Pirton,Hertfordshire,20,PIT,51.9774306696597,-0.3353413677947
"2010 - Community Digs",Pirton,Hertfordshire,21,PIT,51.9757320496167,-0.3373382684435
"2010 - Community Digs",Pirton,Hertfordshire,22,PIT,51.9767988207798,-0.33750734039074
"2010 - Community Digs",Pirton,Hertfordshire,23,PIT,51.9758503270361,-0.33834433854665
"2010 - Community Digs",Pirton,Hertfordshire,24,PIT,51.9763671318728,-0.33810736407885
"2010 - Community Digs",Pirton,Hertfordshire,25,PIT,51.9765009761662,-0.33892770262722
"2010 - Community Digs",Pirton,Hertfordshire,26,PIT,51.9748366096327,-0.33046164128242
"2010 - Community Digs",Pirton,Hertfordshire,27,PIT,51.9771658384183,-0.338291911234
"2010 - Community Digs",Pirton,Hertfordshire,1,COR,51.9734304683349,-0.34044068601896
"2010 - Community Digs",Pirton,Hertfordshire,2,COR,51.974737057944,-0.33433459502346
"2010 - Community Digs",Pirton,Hertfordshire,3,COR,51.978094803068,-0.33715857312364
"2010 - Community Digs",Pirton,Hertfordshire,4,COR,51.9772889753118,-0.34012141262286
"2010 - Community Digs",Pirton,Hertfordshire,5,COR,51.9773887869266,-0.33334812362537
"2010 - Community Digs",Pirton,Hertfordshire,6,COR,51.9759523448142,-0.33548235751153
